,FIPS,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party2000,party2004,party2008,party2012,party2016,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
37,1107.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5042154566744731,0.5661410424879545,0.53978345087911,0.5331391114348143,0.5717878851393837,republican,republican,republican,republican,republican,False,False,False,False,Pickens,Alabama
38,1109.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5745447647951442,0.6297231338887487,0.5735578645646722,0.5644715389522932,0.5842193195625759,republican,republican,republican,republican,republican,False,False,False,False,Pike,Alabama
39,1111.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5892158100770299,0.6807021442061993,0.6909668721109399,0.6947489901904212,0.756356140178659,republican,republican,republican,republican,republican,False,False,False,False,Randolph,Alabama
40,1115.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.7105437941054379,0.8058708549089537,0.811106547758742,0.8259644930010243,0.8242447916666666,republican,republican,republican,republican,republican,False,False,False,False,St. Clair,Alabama
41,1117.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.7669810713365954,0.8039312599802296,0.7618900521827389,0.7722226426108294,0.7211566950441464,republican,republican,republican,republican,republican,False,False,False,False,Shelby,Alabama
42,1121.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5424934187261797,0.6131179343099873,0.588001403344638,0.5766937344559974,0.617056305564702,republican,republican,republican,republican,republican,False,False,False,False,Talladega,Alabama
43,1123.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6032732418630407,0.6902852049910874,0.6791983843405313,0.6583461681448829,0.6976290670224776,republican,republican,republican,republican,republican,False,False,False,False,Tallapoosa,Alabama
44,1125.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5656419469674285,0.6140197622798225,0.5753877737226277,0.5821096831657971,0.577061668681983,republican,republican,republican,republican,republican,False,False,False,False,Tuscaloosa,Alabama
45,1127.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.525954525954526,0.6756794867275355,0.7232304900181489,0.7591248553697275,0.82335776330076,republican,republican,republican,republican,republican,False,False,False,False,Walker,Alabama
46,1129.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5419957872564508,0.6135564447677944,0.6443304843304843,0.6562998405103668,0.7080745341614907,republican,republican,republican,republican,republican,False,False,False,False,Washington,Alabama
47,1133.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6882378192745224,0.780005756500048,0.8077958329179543,0.8556722256536957,0.8947929797343159,republican,republican,republican,republican,republican,False,False,False,False,Winston,Alabama
48,2001.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.7032752403846154,0.6050686378035903,0.5952654232424677,0.7639212639212639,0.47905995781862004,republican,republican,republican,republican,republican,False,False,False,False,District 1,Alaska
49,2002.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.573226854358419,0.5212243466058586,0.5208791208791209,0.6081916537867079,0.5804806991988347,republican,republican,republican,republican,republican,False,False,False,False,District 2,Alaska
50,2005.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5507223862047538,0.512677914977849,0.48097711638354623,0.4945351835932703,0.4658487224892487,republican,republican,republican,republican,republican,False,False,False,False,District 5,Alaska
51,2006.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6331147540983607,0.5991270611057226,0.6204572098475967,0.67419479019633,0.5826241134751773,republican,republican,republican,republican,republican,False,False,False,False,District 6,Alaska
52,2007.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5610233951826669,0.5818773163905907,0.5780246006976317,0.6926732673267326,0.7155775259223535,republican,republican,republican,republican,republican,False,False,False,False,District 7,Alaska
53,2009.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.7042647058823529,0.6036914504614314,0.5797284054318914,0.7332613390928726,0.6812597721688631,republican,republican,republican,republican,republican,False,False,False,False,District 9,Alaska
54,2010.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6385637100405223,0.6274418604651163,0.6040961709706144,0.750076103500761,0.691924778761062,republican,republican,republican,republican,republican,False,False,False,False,District 10,Alaska
55,2011.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5673352435530086,0.7124760076775432,0.7841070342590716,0.7017726798748697,0.6650841160078439,republican,republican,republican,republican,republican,False,False,False,False,District 11,Alaska
56,2012.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6086041310353901,0.6845082313212326,0.7203847674265385,0.6633755013884604,0.6946452897411716,republican,republican,republican,republican,republican,False,False,False,False,District 12,Alaska
57,2013.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.48508120357547524,0.6683737197102173,0.7315634218289085,0.5393376555107763,0.6165620694933415,republican,republican,republican,republican,republican,False,False,False,False,District 13,Alaska
58,2014.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6390593047034765,0.6892847954720864,0.7754399387911247,0.4885398981324278,0.573704414587332,republican,republican,republican,republican,republican,False,False,False,False,District 14,Alaska
59,2024.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6396715097915351,0.5752018715568636,0.5368106139438086,0.5366991356839073,0.5186123348017622,republican,republican,republican,republican,republican,False,False,False,False,District 24,Alaska
60,2027.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6432266717762023,0.6023242630385488,0.6070840197693574,0.5557608796082417,0.465103039963566,republican,republican,republican,republican,republican,False,False,False,False,District 27,Alaska
61,2028.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6442934782608696,0.6224188790560472,0.6079452614379085,0.6961770623742455,0.4745777544412357,republican,republican,republican,republican,republican,False,False,False,False,District 28,Alaska
62,2029.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.45948090218746457,0.6130641330166271,0.5927894283251939,0.7207589564349021,0.6756440281030445,republican,republican,republican,republican,republican,False,False,False,False,District 29,Alaska
63,2030.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5954298865691271,0.6118545505499895,0.5989328106283349,0.5778011572856392,0.6920670391061452,republican,republican,republican,republican,republican,False,False,False,False,District 30,Alaska
64,2035.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6703227828267001,0.5191426842969493,0.5218352099337051,0.5487593768032314,0.4539924795399248,republican,republican,republican,republican,republican,False,False,False,False,District 35,Alaska
65,4003.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5469149544237538,0.5969921093451431,0.5945514133551824,0.601942738199702,0.5616714985504349,republican,republican,republican,republican,republican,False,False,False,False,Cochise,Arizona
66,4007.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5163509246729815,0.5921892241999712,0.631128822818251,0.625,0.3864621086192332,republican,republican,republican,republican,republican,False,False,False,False,Gila,Arizona
67,4009.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6215852649006622,0.6965485074626866,0.6975930707087532,0.681231547870097,0.39520338816113465,republican,republican,republican,republican,republican,False,False,False,False,Graham,Arizona
68,4011.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5469594594594595,0.6191718291490056,0.5877102643323034,0.535305985205111,0.3644067796610169,republican,republican,republican,republican,republican,False,False,False,False,Greenlee,Arizona
69,4012.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.567254070934642,0.6247279920870425,0.6320244956772334,0.6496414203253454,0.6726600571332549,republican,republican,republican,republican,republican,False,False,False,False,La Paz,Arizona
70,4013.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5322918180013508,0.5696536829564595,0.5468635756892866,0.5447536536782323,0.4766837560609095,republican,republican,republican,republican,republican,False,False,False,False,Maricopa,Arizona
71,4015.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5524568994812079,0.6364973100143582,0.6557651061312033,0.7022996714755035,0.7290444441664686,republican,republican,republican,republican,republican,False,False,False,False,Mohave,Arizona
72,4017.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.49254384220781805,0.5341805027362954,0.5519832402234637,0.5325833668139816,0.5106715640045665,republican,republican,republican,republican,republican,False,False,False,False,Navajo,Arizona
73,4021.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.4873334947929281,0.5726532759741264,0.5665455793598582,0.5731339149702257,0.5621092121717383,republican,republican,republican,republican,republican,False,False,False,False,Pinal,Arizona
74,4025.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5883801371870786,0.61183901864079,0.6140815671162492,0.642860704207094,0.6232415902140673,republican,republican,republican,republican,republican,False,False,False,False,Yavapai,Arizona
75,4027.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.548233980175904,0.5767320941115299,0.5634987962856816,0.5566228875169833,0.47472175061309185,republican,republican,republican,republican,republican,False,False,False,False,Yuma,Arizona
76,5001.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5262084118016321,0.5454938093866973,0.5997420464316423,0.6000923929781337,0.6159047005795235,republican,republican,republican,republican,republican,False,False,False,False,Arkansas,Arkansas
77,5005.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.570864256643524,0.6005396654074474,0.6432110504979731,0.7077925435648172,0.7427906506121623,republican,republican,republican,republican,republican,False,False,False,False,Baxter,Arkansas
78,5007.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6494053610707229,0.6836511501592754,0.6720386996700538,0.6894785318646933,0.628676774353466,republican,republican,republican,republican,republican,False,False,False,False,Benton,Arkansas
79,5009.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6284561789512284,0.6627190904784462,0.6834044203179527,0.7250341108439997,0.7594190304760723,republican,republican,republican,republican,republican,False,False,False,False,Boone,Arkansas
80,5013.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5162471395881006,0.5822839774207555,0.6594497068110059,0.6706531738730451,0.6857646540326134,republican,republican,republican,republican,republican,False,False,False,False,Calhoun,Arkansas
81,5015.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5793534932221064,0.5900200362560825,0.5750070895169676,0.6014926838849062,0.6307863915225879,republican,republican,republican,republican,republican,False,False,False,False,Carroll,Arkansas
82,5023.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5613794454785931,0.5915504858470638,0.7022402540130535,0.7463724564265476,0.7826230864708316,republican,republican,republican,republican,republican,False,False,False,False,Cleburne,Arkansas
83,5025.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5275070732474064,0.5746567505720824,0.6992867332382311,0.7082057562767912,0.7340488968395945,republican,republican,republican,republican,republican,False,False,False,False,Cleveland,Arkansas
84,5027.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5391640700547975,0.5781612675345645,0.6132035990793053,0.612374405076679,0.6139304602227973,republican,republican,republican,republican,republican,False,False,False,False,Columbia,Arkansas
85,5029.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.4900470002764722,0.4963579604578564,0.5764315556647825,0.5839586028460544,0.6117068247760817,republican,republican,republican,republican,republican,False,False,False,False,Conway,Arkansas
86,5033.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6129929078014185,0.6563893926768296,0.7153711279953243,0.7355155164877859,0.7432516703786192,republican,republican,republican,republican,republican,False,False,False,False,Crawford,Arkansas
87,5045.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5495276560788609,0.5864362427083901,0.6158964520750868,0.644524843222383,0.617459549308814,republican,republican,republican,republican,republican,False,False,False,False,Faulkner,Arkansas
88,5047.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.53371335504886,0.5736040609137056,0.6812355212355212,0.7081039755351682,0.7443131462333825,republican,republican,republican,republican,republican,False,False,False,False,Franklin,Arkansas
89,5049.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.495618305744888,0.5089808274470232,0.5778443113772455,0.6521450685537373,0.7273679798826488,republican,republican,republican,republican,republican,False,False,False,False,Fulton,Arkansas
90,5051.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5314595797968554,0.541266125417144,0.613577620714106,0.6387252013356904,0.6393089082220316,republican,republican,republican,republican,republican,False,False,False,False,Garland,Arkansas
91,5053.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5463163146515883,0.6211225997045791,0.7394376564110113,0.7453310696095077,0.7689724647414372,republican,republican,republican,republican,republican,False,False,False,False,Grant,Arkansas
92,5061.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.52164162368244,0.5535100141614404,0.610193974411886,0.6481398476019722,0.6754385964912281,republican,republican,republican,republican,republican,False,False,False,False,Howard,Arkansas
93,5063.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5300155252716923,0.5710552609330567,0.671192779900805,0.7040413003145922,0.7298369325694138,republican,republican,republican,republican,republican,False,False,False,False,Independence,Arkansas
94,5071.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5106828655215752,0.5359273993038289,0.6017114914425428,0.6253395900222277,0.668459174714662,republican,republican,republican,republican,republican,False,False,False,False,Johnson,Arkansas
95,5083.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5542243083003953,0.5936147818968541,0.6766156570127735,0.6928113490656118,0.7254134578967302,republican,republican,republican,republican,republican,False,False,False,False,Logan,Arkansas
96,5085.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5910940199520704,0.6535633227417158,0.7262541594709574,0.7414779795969146,0.7364575645756457,republican,republican,republican,republican,republican,False,False,False,False,Lonoke,Arkansas
97,5087.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6018123667377399,0.6066729323308271,0.6276864728192162,0.6490560292326432,0.7203625200994007,republican,republican,republican,republican,republican,False,False,False,False,Madison,Arkansas
98,5089.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5655860349127182,0.600990243192078,0.6316671320860094,0.6770670826833073,0.7508090614886731,republican,republican,republican,republican,republican,False,False,False,False,Marion,Arkansas
99,5091.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5293561295016369,0.5755552527592315,0.6581026355971586,0.6929349598799661,0.7018830402088124,republican,republican,republican,republican,republican,False,False,False,False,Miller,Arkansas
100,5097.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5691361326557903,0.5980293077311774,0.6529541689674213,0.6959459459459459,0.7426243326777184,republican,republican,republican,republican,republican,False,False,False,False,Montgomery,Arkansas
101,5101.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6440030557677616,0.6347647327546825,0.6535353535353535,0.6850587271237367,0.7660538236077804,republican,republican,republican,republican,republican,False,False,False,False,Newton,Arkansas
102,5105.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5275767407037684,0.5495373504852178,0.6410376256134611,0.6554088369730828,0.6985601486298189,republican,republican,republican,republican,republican,False,False,False,False,Perry,Arkansas
103,5109.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5729035507428859,0.5978615978615979,0.6875945537065052,0.7515839493136219,0.7912584777694047,republican,republican,republican,republican,republican,False,False,False,False,Pike,Arkansas
104,5113.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6395106353399138,0.6657263751763046,0.7125374300221325,0.7707740098369144,0.8040335317701373,republican,republican,republican,republican,republican,False,False,False,False,Polk,Arkansas
105,5115.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.610357181630659,0.651325232035212,0.7051043978441053,0.7222956113312784,0.7202800301298241,republican,republican,republican,republican,republican,False,False,False,False,Pope,Arkansas
106,5117.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.530938123752495,0.5601545253863135,0.6574977817213842,0.6854504934734161,0.7273519163763066,republican,republican,republican,republican,republican,False,False,False,False,Prairie,Arkansas
107,5125.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.5747584205489179,0.6314506298252742,0.6938167648310304,0.7004164718881476,0.6883493282149712,republican,republican,republican,republican,republican,False,False,False,False,Saline,Arkansas
108,5127.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6026124089424768,0.6225854383358098,0.6986232790988736,0.7228021978021978,0.778062678062678,republican,republican,republican,republican,republican,False,False,False,False,Scott,Arkansas
109,5129.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,0.6431739773287334,0.6425350701402806,0.7086041070964387,0.7306442880346508,0.7926502145922747,republican,republican,republican,republican,republican,False,False,False,False,Searcy,Arkansas
