,state_po,2000_cand,2004_cand,2008_cand,2012_cand,2016_cand,2000_percent,2004_percent,2008_percent,2012_percent,2016_percent,party1996,party2000,party2004,party2008,party2012,party2016,Switch_1996_2000,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016
37,DC,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.8515508137933767,0.8918386895503239,0.9245710975614343,0.9091311392818725,0.9048388386787171,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
38,DE,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5497772716309091,0.5334683760228152,0.6194266898150393,0.5861074198458528,0.5335333680563419,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
39,HI,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5579166791230354,0.5400955215809311,0.7145291011787819,0.7014793244563191,0.6098079805512905,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
40,IL,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.545965212095549,0.5482316020902781,0.6191811452001323,0.5760213536247709,0.558253666987933,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
41,MA,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5912612602067913,0.616166602048537,0.6136319910280229,0.6033830832021647,0.5905006509667129,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
42,MD,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5648830838450493,0.5597146761355201,0.6191934476264593,0.6197419077931849,0.6032574423519277,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
43,ME,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.4908601647394898,0.5357285569259347,0.5770573729797597,0.5537103419348252,0.4634521409730895,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
44,MN,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.479055720603522,0.5108968468600654,0.5406029269827984,0.5265230315324626,0.4644503396176695,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
45,NJ,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5612560891508792,0.5292340900702746,0.5727213715188599,0.5834235491063761,0.554530844496942,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
46,NY,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.566392704823055,0.5613058126549186,0.6015696154075767,0.6076098417487449,0.5613614259984896,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
47,OR,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.46959940024120733,0.5134866304221187,0.5674880625692065,0.54239326652769,0.5007185200286208,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
48,RI,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.6098770018967911,0.5942342622628302,0.6286400461245617,0.627009588632639,0.5440660657037472,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
49,VT,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5063470921619528,0.5893746257712714,0.6745568319560924,0.665705503023823,0.5572274212321393,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
50,WA,"Gore, Al","Kerry, John","Obama, Barack H.","Obama, Barack H.","Clinton, Hillary",0.5015821531675426,0.5282114831183694,0.5765289221364835,0.5616339829967276,0.5253868006182659,democrat,democrat,democrat,democrat,democrat,democrat,False,False,False,False,False
